Depth (m),qc (MPa)
13.12,15.5690
13.14,15.6000
13.16,15.0880
13.18,14.6990
13.2,14.4340
13.22,13.9810
13.24,13.3890
13.26,13.0890
13.28,12.6210
13.3,12.1470
13.32,11.5030
13.34,10.7690
13.36,10.1970
13.38,9.9290
13.4,9.9410
13.42,10.0260
13.44,9.9020
13.46,9.5970
13.48,8.8900
13.5,8.6690
13.52,1.1610
13.54,2.0080
13.56,2.6760
13.58,3.5020
13.6,4.8200
13.62,5.8190
13.64,6.9710
13.66,7.3970
13.68,7.8550
13.7,7.8500
13.72,7.7060
13.74,7.5880
13.76,7.6240
13.78,7.8500
13.8,8.0970
13.82,8.4900
13.84,9.1410
13.86,9.3790
13.88,9.1760
13.9,8.7570
13.92,8.4970
13.94,8.2860
13.96,8.4020
13.98,8.6400
14,8.7440
14.02,8.4640
14.04,7.9920
14.06,7.3830
14.08,6.6950
14.1,6.3200
14.12,6.2200
14.14,6.2540
14.16,6.3580
14.18,6.6430
14.2,7.1040
14.22,7.7000
14.24,7.9690
14.26,8.1960
14.28,8.2620
14.3,8.4460
14.32,8.7980
14.34,9.4990
14.36,9.9240
14.38,10.3100
14.4,10.1220
14.42,9.8170
14.44,9.6410
14.46,9.6990
14.48,9.9360
14.5,10.1600
14.52,10.2810
14.54,10.2020
14.56,10.1730
14.58,10.2600
14.6,10.2470
14.62,10.0370
14.64,10.0340
14.66,10.2190
14.68,10.4490
14.7,10.8360
14.72,11.0710
14.74,11.0690
14.76,10.6190
14.78,10.0600
14.8,9.2140
14.82,8.7890
14.84,8.5680
14.86,8.5210
14.88,8.6640
14.9,8.9240
14.92,9.4310
14.94,9.9790
14.96,10.6270
14.98,11.3450
15,11.7220
15.02,11.8740
15.04,11.9110
15.06,11.7130
15.08,11.5720
15.1,11.3380
15.12,11.2410
15.14,11.2980
15.16,11.5530
15.18,12.2010
15.2,12.4300
15.22,12.6050
15.24,12.4570
15.26,12.2160
15.28,12.1840
15.3,12.2350
15.32,12.3830
15.34,12.4320
15.36,12.3140
15.38,11.8490
15.4,11.6400
15.42,11.4010
15.44,11.2760
15.46,11.2490
15.48,11.2170
15.5,10.9300
15.52,10.6640
15.54,9.8670
15.56,9.3260
15.58,8.7030
15.6,8.5880
15.62,8.4730
15.64,8.3580
15.66,8.7610
15.68,9.2090
15.7,9.3270
15.72,9.3450
15.74,9.2470
15.76,9.0410
15.78,8.5960
15.8,8.4790
15.82,8.4560
15.84,8.6120
15.86,8.9230
15.88,9.1960
15.9,9.4550
15.92,9.7820
15.94,10.0960
15.96,10.2900
15.98,10.6590
16,11.2960
16.02,11.6110
16.04,11.7960
16.06,11.8470
16.08,11.7280
16.1,11.6000
16.12,11.4270
16.14,11.3590
16.16,11.3990
16.18,11.4300
16.2,11.1510
16.22,0.7760
16.24,1.1420
16.26,1.6610
16.28,2.1230
16.3,2.6910
16.32,3.4080
16.34,4.1010
16.36,5.5650
16.38,6.5810
16.4,8.2970
16.42,9.7320
16.44,9.8870
16.46,9.8150
16.48,9.5170
16.5,9.3010
16.52,9.4020
16.54,9.6350
16.56,9.9440
16.58,9.9510
16.6,9.7520
16.62,9.4880
16.64,9.3260
16.66,9.1890
16.68,9.2230
16.7,9.5150
16.72,10.0570
16.74,10.8650
16.76,10.9310
16.78,10.6850
16.8,10.4830
16.82,10.3240
16.84,10.2470
16.86,10.5540
16.88,11.2500
16.9,11.7980
16.92,12.0620
16.94,11.7730
16.96,11.0640
16.98,10.4170
17,9.9190
17.02,9.7320
17.04,9.8650
17.06,10.4750
17.08,10.6590
17.1,10.4830
17.12,10.2010
17.14,9.9900
17.16,9.8710
17.18,9.8740
17.2,9.9520
17.22,10.1960
17.24,10.4140
17.26,10.4110
17.28,10.3330
17.3,10.2240
17.32,10.2620
17.34,10.5460
17.36,10.9040
17.38,11.3320
17.4,11.4030
17.42,11.1080
17.44,10.5760
17.46,10.0480
17.48,9.7260
17.5,9.8220
17.52,10.1670
17.54,10.3680
17.56,10.7450
17.58,10.5690
17.6,10.1520
17.62,9.8810
17.64,9.5000
17.66,9.2600
17.68,9.0100
17.7,8.8550
17.72,8.7570
17.74,8.7550
17.76,9.1280
17.78,9.6730
17.8,10.2120
17.82,10.7150
17.84,11.1800
17.86,11.9950
17.88,12.6030
17.9,12.9050
17.92,12.7450
17.94,12.3390
17.96,11.8790
17.98,11.4230
18,10.2760
18.02,9.5650
18.04,9.1900
18.06,8.8140
18.08,8.4380
18.1,8.4540
18.12,9.2510
18.14,11.0210
18.16,12.0310
18.18,12.8690
18.2,13.7770
18.22,14.3250
18.24,14.5020
18.26,14.5390
18.28,14.2750
18.3,13.8790
18.32,13.0290
18.34,12.8080
18.36,12.8320
18.38,13.0560
18.4,13.7200
18.42,14.8340
18.44,16.4770
18.46,17.2210
18.48,17.6930
18.5,17.6410
18.52,16.7230
18.54,16.3150
18.56,15.7340
18.58,15.0550
18.6,14.4100
18.62,13.3970
18.64,12.5840
18.66,11.9220
18.68,11.6300
18.7,11.6850
18.72,11.6010
18.74,11.3870
18.76,10.9400
18.78,10.6490
18.8,10.8710
18.82,11.1960
18.84,11.9030
18.86,12.2270
18.88,12.1400
18.9,11.5820
18.92,1.5960
18.94,3.3030
18.96,4.9670
18.98,6.5290
19,8.1620
19.02,8.5290
19.04,8.8920
19.06,9.2920
19.08,9.5560
19.1,9.5480
19.12,9.4670
19.14,9.4460
19.16,9.4420
19.18,9.6340
19.2,10.3510
19.22,11.0930
19.24,11.9720
19.26,12.6990
19.28,13.6280
19.3,14.0800
19.32,14.3780
19.34,14.3340
19.36,14.0180
19.38,13.3630
19.4,12.2240
19.42,11.5160
19.44,11.0310
19.46,10.3660
19.48,9.9040
19.5,9.4500
19.52,9.0830
19.54,8.7970
19.56,8.5620
19.58,8.1950
19.6,7.6920
19.62,7.3660
19.64,7.1050
19.66,8.0030
19.68,9.3900
19.7,11.1570
19.72,12.1180
19.74,13.5470
19.76,14.0630
19.78,14.5030
19.8,15.3020
19.82,15.5940
19.84,15.4080
19.86,14.9460
19.88,13.8410
19.9,12.6820
19.92,11.7750
19.94,10.9760
19.96,10.3430
19.98,9.9490
20,9.9720
20.02,10.0130
20.04,9.9230
20.06,9.4570
20.08,8.9420
20.1,8.7690
20.12,8.8220
20.14,9.2480
20.16,10.6610
20.18,12.3100
20.2,13.7040
20.22,14.1400
20.24,14.2290
20.26,13.3640
20.28,12.4860
20.3,11.4480
20.32,10.4400
20.34,10.2970
20.36,10.1530
20.38,10.0090
20.4,10.2540
20.42,11.3970
20.44,11.9220
20.46,12.4350
20.48,12.4780
20.5,12.3340
20.52,12.2560
20.54,12.0240
20.56,11.8320
20.58,11.6280
20.6,11.5350
20.62,11.3850
20.64,10.8980
20.66,10.5820
20.68,10.2960
20.7,9.7720
20.72,9.4170
20.74,9.0030
20.76,9.0570
20.78,9.1570
20.8,9.2440
20.82,9.2720
20.84,9.4420
20.86,9.7130
20.88,10.2670
20.9,10.3650
20.92,10.1410
20.94,9.5770
20.96,8.9330
20.98,8.7330
21,8.7020
21.02,8.5800
21.04,8.6600
21.06,8.8120
21.08,8.7390
21.1,8.3540
21.12,7.9200
21.14,7.5300
21.16,7.2810
21.18,7.4470
21.2,7.8820
21.22,8.4450
21.24,8.9920
21.26,9.5590
21.28,9.9310
21.3,10.7610
21.32,11.1500
21.34,11.5890
21.36,11.6470
21.38,10.9240
21.4,9.8460
21.42,2.1270
21.44,2.7450
21.46,3.3290
21.48,4.1460
21.5,4.7330
21.52,5.8100
21.54,7.1950
21.56,8.4330
21.58,8.3250
21.6,7.8270
21.62,7.2040
21.64,6.9270
21.66,6.7660
21.68,6.8150
21.7,7.1900
21.72,8.9260
21.74,10.6860
21.76,12.7200
21.78,14.9600
21.8,15.8250
21.82,15.0050
21.84,14.6750
21.86,14.4940
21.88,14.9100
21.9,15.8010
21.92,16.2460
21.94,16.5330
21.96,16.3110
21.98,15.8190
22,15.5490
22.02,15.0130
22.04,14.2550
22.06,13.9820
22.08,13.3600
22.1,12.7210
22.12,12.5990
22.14,12.8020
22.16,12.6920
22.18,12.5920
22.2,12.5870
22.22,12.6460
22.24,12.7080
22.26,12.7560
22.28,12.6280
22.3,12.2300
22.32,11.5590
22.34,11.0000
22.36,10.8850
22.38,10.9510
22.4,10.7480
22.42,10.0850
22.44,9.5300
22.46,9.2180
22.48,8.9060
22.5,8.5940
22.52,8.7320
22.54,9.4840
22.56,10.5810
22.58,11.2210
22.6,11.5820
22.62,11.8690
22.64,11.9270
22.66,11.6330
22.68,11.6310
22.7,11.6280
22.72,11.5110
22.74,11.3650
22.76,11.1040
22.78,10.9620
22.8,10.8160
22.82,10.6370
22.84,10.3490
22.86,10.1940
22.88,9.9950
22.9,9.8860
22.92,9.7610
22.94,9.2320
22.96,8.4760
22.98,7.7710
23,7.1250
23.02,6.7890
23.04,7.0080
23.06,7.3800
23.08,7.7940
23.1,8.1950
23.12,9.0510
23.14,9.8350
23.16,10.5550
23.18,11.1420
23.2,11.2150
23.22,10.9550
23.24,10.0130
23.26,9.2060
23.28,8.4980
23.3,7.7300
23.32,6.7730
23.34,6.6870
23.36,6.6020
23.38,6.5170
23.4,7.3850
23.42,8.3830
23.44,8.8130
23.46,9.2560
23.48,9.3130
23.5,9.0980
23.52,8.6850
23.54,8.3460
23.56,8.2600
23.58,8.3780
23.6,8.5530
23.62,8.8880
23.64,9.0410
23.66,8.8400
23.68,8.1610
23.7,8.0100
23.72,7.8590
23.74,7.7080
23.76,7.9040
23.78,7.8210
23.8,7.7300
23.82,7.6910
23.84,8.2170
23.86,9.1780
23.88,9.8910
23.9,10.3890
23.92,10.8340
23.94,10.9410
23.96,10.8310
23.98,10.9590
24,11.2770
24.02,11.7970
24.04,11.9290
24.06,11.3220
24.08,10.5980
24.1,10.0450
24.12,4.3790
24.14,5.6450
24.16,6.2860
24.18,6.2390
24.2,6.2100
24.22,6.3880
24.24,6.5250
24.26,6.5490
24.28,6.5780
24.3,6.4340
24.32,6.2160
24.34,6.3730
24.36,6.8520
24.38,7.1270
24.4,7.6390
24.42,7.8160
24.44,7.6370
24.46,7.4180
24.48,7.1940
24.5,7.1400
24.52,7.3560
24.54,7.6930
24.56,8.0030
24.58,8.8290
24.6,9.7390
24.62,10.6300
24.64,11.0210
24.66,10.5710
24.68,9.9190
24.7,9.7300
24.72,9.5410
24.74,9.3520
24.76,10.1270
24.78,10.3580
24.8,10.3320
24.82,10.1680
24.84,9.7850
24.86,9.1630
24.88,8.8270
24.9,8.2270
24.92,7.8930
24.94,7.7040
24.96,7.3930
24.98,7.0460
25,6.9720
25.02,6.8970
25.04,6.8230
25.06,7.6690
25.08,8.1800
25.1,8.3720
25.12,8.3460
25.14,8.0590
25.16,7.5810
25.18,7.0980
25.2,7.0300
25.22,6.9630
25.24,6.8950
25.26,7.2120
25.28,7.5860
25.3,7.9780
25.32,8.5250
25.34,8.8780
25.36,8.9420
25.38,8.5130
25.4,7.9450
25.42,7.2850
25.44,7.0530
25.46,6.9960
25.48,7.0250
25.5,7.2250
25.52,7.2930
25.54,7.3950
25.56,7.5100
25.58,7.5600
25.6,7.6150
25.62,7.6670
25.64,7.4060
25.66,7.2060
25.68,6.8680
25.7,6.6350
25.72,6.6900
25.74,6.9300
25.76,7.4220
25.78,8.1260
25.8,8.8310
25.82,9.4230
25.84,9.1400
25.86,8.7290
25.88,8.3180
25.9,7.9080
25.92,8.8310
25.94,9.2930
25.96,9.4970
25.98,9.3780
26,8.8320
26.02,8.7680
26.04,8.8180
26.06,8.9690
26.08,9.4620
26.1,9.9450
26.12,10.2540
26.14,10.0810
26.16,9.0510
26.18,7.7230
26.2,7.2320
26.22,7.1870
26.24,7.1420
26.26,7.0970
26.28,7.5250
26.3,8.6970
26.32,9.4390
26.34,9.5740
26.36,9.7280
26.38,9.7940
26.4,10.8300
26.42,11.4560
26.44,11.4960
26.46,11.2320
26.48,10.6300
26.5,9.8530
26.52,9.4400
26.54,9.1970
26.56,9.4830
26.58,9.8840
26.6,10.4000
26.62,10.6220
26.64,10.7060
26.66,10.4100
26.68,9.9940
26.7,9.7400
26.72,9.6500
26.74,9.7470
26.76,10.2510
26.78,10.7140
26.8,11.4490
